fdc_id,expected_category,known_failure,description
1103345,VEGAN,N,"Cauliflower, raw"
1103346,VEGAN,N,"Celery, raw"
1103104,VEGAN,N,"Dandelion greens, raw"
1097511,VEGETARIAN,N,"Milk, NFS"
1099432,OMNI,N,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
1098175,OMNI,N,"Beef steak, fried, lean only eaten"
1097549,VEGAN,Y,"Almond milk, sweetened, chocolate"
1103502,VEGAN_OR_VEGETARIAN,Y,"Corn, fresh, cooked with butter or margarine"
1100823,VEGAN,N,"Bread, soy"
1099434,OMNI,N,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
1103059,VEGETARIAN,N,Potato and cheese soup
1100183,VEGETARIAN,N,"Egg, whole, raw"
1102709,VEGAN,N,"Raspberries, frozen"
1099048,OMNI,N,"Whiting, baked or broiled, made with cooking spray"
1098973,OMNI,N,"Salmon, coated, fried, made with butter"
1098558,OMNI,N,"Chicken wing, baked, coated"
1097964,VEGETARIAN,N,"Light ice cream bar, vanilla"
1099872,OMNI,N,"Chicken fillet sandwich, fried, on white bun"
1098273,OMNI,N,"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten"
1103281,VEGAN,N,"Tomatoes, canned, reduced sodium, cooked"
1099024,OMNI,N,"Trout, coated, fried, made with butter"
1100927,VEGETARIAN,N,"Cake or cupcake, peanut butter"
1100185,VEGETARIAN,N,"Egg, whole, boiled or poached "
1102910,VEGETARIAN,N,"Potato, roasted, from fresh, peel not eaten, made with butter"
1098627,OMNI,N,"Turkey bacon, cooked"
1099485,OMNI,N,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
1102581,OMNI,N,"Macaroni, tomatoes, and beef, baby food, strained"
1099497,OMNI,N,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
1098599,OMNI,N,"Turkey, light meat, roasted, skin not eaten"
1103469,VEGAN_VEGETARIAN_OR_OMNI,N,"Brussels sprouts, frozen, cooked, fat added"
1100828,VEGAN,N,"Bread, rice, toasted"
1101303,OMNI,N,"Crackers, oyster"
1099820,OMNI,N,"Reuben sandwich, corned beef sandwich with sauerkraut and cheese, with spread"
1098078,OMNI,N,"Cheese, cottage cheese, with gelatin dessert and vegetables"
1098434,OMNI,N,"Chicken, NS as to part, grilled with sauce, skin eaten"
1100393,OMNI,N,Pinto beans with meat
1100139,OMNI,N,"Chicken or turkey soup, cream of, canned, reduced sodium, made with milk"
1100019,OMNI,Y,"Frankfurter or hot dog sandwich, with meatless chili, on multigrain bun"
1101194,VEGAN_OR_VEGETARIAN,Y,"Pastry, puff"
1099800,OMNI,N,"Hamburger, on wheat bun, 1 small patty"
1104575,VEGAN,N,"Broccoli, cooked, as ingredient"
1098436,OMNI,N,"Chicken, NS as to part, sauteed, skin eaten"
1098029,VEGETARIAN,N,"Cheese, Parmesan, dry grated, fat free"
1103827,VEGAN,N,"Margarine, stick"
1103867,VEGAN,N,Sunflower oil
1101593,VEGETARIAN_OR_OMNI,N,"Oatmeal,  instant, plain, made with milk, fat added"
1098605,OMNI,N,"Turkey, light or dark meat, fried, coated, skin not eaten"
1104248,VEGETARIAN,N,"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, not reconstituted"
1102011,OMNI,N,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
1104197,VEGETARIAN,N,"Coffee, Iced Latte, nonfat, flavored"
1102699,VEGAN,N,"Berries, NFS"
1097637,VEGETARIAN,N,"Chocolate milk, made from dry mix with low fat milk (Nesquik)"
1100266,VEGETARIAN_OR_OMNI,N,"Egg omelet or scrambled egg, with tomatoes, NS as to fat"
1101149,VEGETARIAN,N,"Cobbler, pear"
1099106,OMNI,N,"Clams, coated, baked or broiled, no added fat"
1102254,OMNI,N,"Pasta with cream sauce and poultry, ready-to-heat"
1100742,VEGAN,N,"Bread, whole wheat, made from home recipe or purchased at bakery"
1100821,VEGAN,N,"Bread, barley"
1103566,VEGAN_VEGETARIAN_OR_OMNI,Y,"Rutabaga, cooked"
1101070,VEGETARIAN,N,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust"
1098169,OMNI,N,"Beef steak, NS as to cooking method, lean only eaten"
1102399,VEGAN_VEGETARIAN_OR_OMNI,N,"Rice, white, with tomatoes and/or tomato-based sauce, fat added"
1098354,OMNI,N,"Lamb, roast, cooked, NS as to fat eaten"
1104413,VEGAN,N,Gin and Tonic
1099477,OMNI,N,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
1098331,OMNI,N,"Pork ears, tail, head, snout, miscellaneous parts, cooked"
1098091,VEGETARIAN,Y,Welsh rarebit
1102101,VEGETARIAN,N,"Cheese quiche, meatless"
1099865,OMNI,N,"Chicken fillet sandwich, from school cafeteria"
1103324,OMNI,N,"Tomato beef rice soup, prepared with water"
1104184,VEGETARIAN,N,"Frozen mocha coffee drink, decaffeinated"
1099828,OMNI,N,"Roast beef submarine sandwich, on roll, au jus"
1100558,VEGAN,Y,Cashew butter
1103291,VEGAN,N,"Ketchup, reduced sodium"
1102442,VEGAN,N,"Rice, brown, with dark green vegetables, no added fat"
1100271,VEGETARIAN,N,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added"
1104271,VEGAN,N,"Tea, iced, instant, green, unsweetened"
1100037,OMNI,N,"Chicken noodle dinner, baby food, junior"
1103068,VEGAN,N,"Green banana, cooked in salt water"
1098466,OMNI,N,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked"
1103402,VEGETARIAN,N,"Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing"
1101971,VEGETARIAN,N,"Pizza, cheese, from restaurant or fast food, thin crust"
1099725,OMNI,N,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
1098677,OMNI,N,"Frankfurter or hot dog, chicken"
1104177,VEGETARIAN,N,"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk"
1102671,VEGAN,N,"Mango, canned"
1103119,VEGAN,N,"Kale, canned, cooked, no added fat"
1100495,VEGETARIAN,N,"Vegetarian burger or patty, meatless, no bun"
